A-01-01,We have a malfunction.,‘indina mushkeeleh v shaghleh,عندنا مشكله ف شغله.
A-05-04,Turn left.,veeRee im’a eydak il ‘asReeya,فيري أمع ايدك العسرية.
A-05-05,To the hardstand.,gees iblad ogoov iT TaayRa,كٌيس أبلد أوقٌوف الطايره.
A-05-06,Follow the “follow- me” truck.,itlib watit “itlibnee”,أتلبْ وتةْ “اتلبني.”
A-05-07,Take runway ___.,igbaTh il manzil ___,أكٌبظ المنزَلْ .___
A-05-08,Hold short of runway.,Khafev is suR’a saabig il manzil,خفف السرعة سابكٌ المنزَلْ.
A-05-09,"Is able, enter next taxiway.","itgid, idKhil mamaR iT TaayRa il zhaay",أتكٌدْ، أدخل ممر الطايره الجاي.
A-05-10,Taxi to parking.,imshee mashee Had laahee wagiv,أمشي مشي حد لاهِ إوقٌف.
A-05-11,Marshallers will assist.,il HaRas il zhawee idoR isaa’id,الحرس الجوي إدور إساعدْ.
A-05-12,Taxi into position and hold.,imshee beshoR ila liblaaSa o Haanee,أمشي بشور إل لبلاصه و حاني.
A-05-13,There is an obstacle in our way.,veeh mushkeeleh v iTReegnaa,فيه مشكله ف أطريقٌنا.
A-05-14,Can you move that ___?,itgid itHawiz Theyk ___?,آتكٌدْ أتحوز ذيكْ ___؟
A-05-15,car?,il wateh?,الوته؟
A-05-16,truck?,il wateh likbeeRa?,الوته الكبيره؟
A-05-17,airplane?,TaayRa?,طايره؟
A-05-18,powercart?,zhaRaaRa?,جراره؟
A-05-19,We need minimum ___.,niHtaazho laqal shee ___,نحتاجو لقٌل شي .___
A-05-20,15 meter taxiway,mamaR TaayRa Toolo iKhmuSTa’shaR mayTaR,ممر طايره طولُ 15 ميطرْ
A-05-21,21 and a half meter taxiway,mamaR TaayRa Toolo waaHid o ‘shReen mayTaR o nuS,ممر طايره طولُ 21 ميطر ونص
A-05-22,Our wingspan is ___ meters.,zhinHit TaayaRitnaa ___ mayTaR,جنحتْ طايرتنا ___ ميطر.
A-05-23,We need wingtip clearance.,miHtaazheen iThin KhaaS bizhnaaH TaayRa,محتاجين أذن خاص بجناح طايره.
A-06-01,Request takeoff.,Talib iqlaa’,طلب لِقلاع.
A-06-02,Cleared for takeoff.,masmooHlak bil liqlaa’,مسموحلك بلِقلاع.
A-06-03,"After departure, ___.","‘aagib il mashee, ___",عاكٌب المشي .___،
A-06-04,Heading,‘inwaan,عنوان
A-06-05,Flock of birds,yaasiR min iTyooR v iblayda,ياسر من الطيور ف بليده
A-06-06,Climb and maintain.,iTla’ o ihna i’la,أطلع وأهنَ أعلَ.
A-07-01,What is the maximum weight the parking ramp can withstand?,shinhowa akthaR shee igid yeRvdo iblad wogoov iT TaayRa?,شنهو أكثر شي إيكٌد يرفدُ أبلد أوقٌوفْ الطايره؟
A-07-02,What is the total length of the runway?,shinhowa Tool iblad manzil iT TaayRa?,شنهو طول أبلد منزل الطايره؟
A-07-03,What is the width of the runway?,shinhowa ‘uRuTh iblad manzil iT TaayRa?,شنهو عرظ أبلد منزل الطايره؟
A-07-04,What is the maximum weight the runway can stand?,shinhowa akthaR shee igid yeRvdo iblad manzil iT TaayRa?,شنهو أكثر شي إيكٌد يرفدُ أبلد منزلْ الطايره؟
A-07-05,What are the operational hours of your tower?,shinheeya saa’aat ish shaghla v iboRizhkom?,شنهي ساعات الشغله ف برجكم؟
A-07-06,What fees are we liable for?,shinheeya iR Rusoom ilee yaalitna inKhalSo?,شنهي الرسوم أللي يالتنَ أنخلصو؟
A-07-07,How much do we owe?,kam yaalitna na’To?,كم يالتنَ نعطو؟
A-07-08,Dollars,dolaaR,دولار
A-07-09,Ouguiya,loogeeya,لوكٌيه
A-07-10,I am ___.,anaa ___,أنا .___
A-07-11,the aircraft commander,il mas-ool ‘an TaayRa,المسؤول عن الطايره
A-07-12,the flight engineer,mohandis TayaRaan,مهندس طيران
A-07-13,the navigator,il malaaH,الملاح
A-07-14,the copilot,peelot musaa’id,بيلوت مساعد
A-07-15,the crew chief,Ra-ees il ‘umaal,رئيس العمال
A-07-16,the flight surgeon,Tabeeb iR RiHla,طبيب الرحله
A-07-17,the loadmaster,mas-ool in naqil,مسؤول النقل
A-07-18,the radio operator,shaghaal iR Radjoo,شغال الردوْ
A-07-19,This is the flight crew.,haaTha howa Taaqim iR RiHla,هاذُ هوم طاقم الرحلة.
A-08-01,We need a forklift.,niHtaazho il Revaadit id bish,نحتاجو ل رفادتْ الدبشْ.
A-08-02,Where do we unload?,imneyn niTiRHo Tha?,أمنين نطرحو ذ؟
A-08-03,Pallet,paaleyt,بَاليتْ
A-08-04,Cargo,shiHna,شحنه
A-08-05,We need a pallet loader.,niHtaazho il Revaadit id bish,نحتاجو ل رفادتْ الدبشْ.
A-08-06,We need workers to assist with unloading.,indoRoo ‘umaal i’aawno v iTRooH id bish,أندورُ عُمال إعاونو ف أطروح الدبش.
A-08-07,We need cargo handlers.,niHtaazho il ‘umaal ish shaHin,نحتاجو ل عمال الشحن.
A-08-08,Is there a staging area for cargo?,veeh iblid KhaaS biTRooH id bish?,فيه أبلد خاص بطروح الدبشْ؟
A-09-01,Do you have ___?,‘indak ___?,عندك ___؟
A-09-02,Oil,weel,ويلْ
A-09-03,Hydraulic fluid,saayil il hidRoleek,سايل الهيدروليك
A-09-04,Hydraulic system,niThaam il hidRoleek,نظام الهيدروليك
A-09-05,We need local airline maintenance support.,niHna miHtaazheen il da’im Seeyaanit il KhoTooT il zhaweeya il maHaleeya,نحن محتاجين ألدعم صيانة الخطوط الجوية المحلية.
A-09-06,Our power requirements are ___.,ishRooT iT Taaqa ‘indinaa heeya ___,أشروط الطاقه عندنا هي .___
A-09-07,400 cycle,aRba’meet dawRa,أربعميت دوره
A-09-08,3-phase,ithlit maRaaHil,أثلت مراحل
A-09-09,alternating current,it tayaaR ilee yitbadal,التيار أللي يتبدل
A-09-10,115 volt,meeya o iKhmuSTa’shaR volt,ميه واخمصطعشر فولت
A-10-01,Is fuel available?,iSaanS Khaalik?,إصانص خالكٌ؟
A-10-02,What is the fuel composition / mixture?,shinheeya mukaweenaat iSaanS?,شنهي مكونات إصانص؟
A-10-03,What is the cost?,Tha baash?,ذ باش؟
A-10-04,We need ___ kilos.,miHtaazheen il ___ keel,محتاجين ل ___ كيل.
A-10-05,How much do we owe you?,kam yaalitna ni’Took?,كم يالتنَ نعطوك؟
A-10-06,Do you have fuel pits?,‘indkom Hisyaan iSaanS?,عندكم حسيان إصانص؟
A-10-07,Are firefighters available during refueling?,ahal ipoompeeya mawzhoodeen waqit igeeTh iSaanS o gazwaal?,أهل أبَومبيَ موجودين وقت أكٌبيظ إصانص وكُزوال؟
A-10-08,How much fuel do your trucks hold?,kam min iSaanS watak tiRvid?,كم من إصانص وتكْ ترفدْ؟
A-10-09,We need refueling.,miHtaazheen liSaanS,محتاجين ل إصانص.
A-10-10,Where will we be refueling?,laahee indeeRo iSaanS?,لاهِ أنديرو إصانص؟
A-10-11,When can we be refueled?,eynta laahee indeeyRo iSaanS?,أينت لاهِ أنديرو إصانص؟
A-11-01,Weather below minimums.,daRazhit il HaRaaRa agal min il Haala il ‘aadeeya,درجة الحراره اقٌل من الحالة العادية.
A-11-02,Cloud cover.,kamsha min lighmaam,كمشه من لغمام.
A-11-03,Upper edge at ___.,iz ziR il voogaanee min ___,الزر الفوكٌاني من .___
A-11-04,Lower edge at ___.,iz ziR it taHtaanee min ___,الزر التحتاني من .___
A-11-05,Ceiling ___ meters.,il maghTa ___ mayTaR,المغطه ___ ميطر.
A-11-06,Visibility ___ kilometers.,ish shova ___ keel,الشوفه ___ كيل.
A-11-07,Barometric pressure ___ millibars.,DhaghiT qowit iR ReeyaaH ___ saanteem,ضغط قوة الرياح ___ سانتيم.
A-11-08,Wind shear,siR’it iR ReeyaaH,سرعة الرياح
A-11-09,Severe conditions,ThoRoov imteena,ظروف أمتينه
A-11-10,Wet runway,manzil mablool,منزَلْ مبلول
A-11-11,Dry runway,manzil yaabis,منزَل يابسْ
B-01-01,Stop!,ogev!,اوقُف!
B-01-02,Stop or I will shoot!,ogev wala naKhibTak bi’maaRa!,اوقٌف وللَ نخبطك بعماره!
B-01-03,Follow our orders.,isma’ awaameRna,اسمع أوامرنا.
B-01-04,Don’t shoot!,laa taKhbaT!,لا تخبط!
B-01-05,Put your weapon down.,iTRaH silaaHak taHt,اطرح سلاحك تحت.
B-01-06,Move.,iHRik,احرك.
B-01-07,Come here.,wahaay zhaay,وهاي جاي.
B-01-08,Follow me.,itlibnee,أتلبني.
B-01-09,Stay here.,ibga hon,آبق هون.
B-01-10,Wait here.,Haanee hon,حاني هون.
B-01-11,Do not move.,laa taHRik,لا تحرك.
B-01-12,Stay where you are.,ibga ivbalak,أبق فبلكْ.
B-01-13,Come with me.,wahaay im’aaya,وهاي أمعاي.
B-01-14,Take me to ___.,imshee bee shoR ___,أمشي بيَ شورْ  .___
B-01-15,Be quiet.,iskit,أسكت.
B-01-16,Slow down.,itkaayis,أتكايس.
B-01-17,Move slowly.,imshee beshoR,أمشي بشور.
B-01-18,Hands up.,eydeyk ilvog,أيديك ألفوقٌ.
B-01-19,Lower your hands.,eydeyk itaHt,أيديك تحت.
B-01-20,Lie down.,itkee,أتكي.
B-01-21,Lie on your stomach.,itkee i’la kaRshak,أتكي أعل كرشك.
B-01-22,Get up.,goom,قٌومْ.
B-01-23,Surrender.,istaslim,أستسلمْ.
B-01-24,You are a prisoner.,inta maHboos,أنت محبوس.
B-01-25,We must search you.,yaalitna in nabshook,يالتنً نبشوك.
B-01-26,Turn around.,iz zagnan,أزقٌنن.
B-01-27,Walk forward.,imshee il gidaam,أمشي ألقدام.
B-01-28,Form a line.,‘adel Saf,عدل صف.
B-01-29,One at a time.,waaHid waaHid,واحد واحد.
B-01-30,You are next.,inta zhaay doRak,أنت جاي دورك.
B-01-31,No talking.,maa veeh shad laKhbaaR,مافيه شد لخبار.
B-01-32,Do not resist.,laa itqaawim,لا تقاومْ.
B-01-33,Calm down.,itkaayis beshoR,أتكايس بشور.
B-01-34,Give me.,a’Teenee,أعطيني.
B-01-35,Do not touch.,laa itmis Tha,لا تمسْ ذ.
B-01-36,Do not remove.,laa taHRik,لا تحركْ.
B-01-37,Keep away.,Khalee Tha ib’eed,خلي ذ ابعيد.
B-01-38,Let us pass.,Khaleena nitKhaTaaw,خلينا نتخطاو.
B-01-39,Don’t be frightened.,laa tinKhla’,لا تنخلع.
B-01-40,You can leave.,itgid timshee,اتكُد تمشي.
B-01-41,Go.,imshee,أمشي.
B-01-42,Go home.,gees id daaR,كُيس الدار.
B-01-43,Open,ivtaH,أفتح
B-01-44,Close,igval,أكُفل
B-01-45,Beware,a’Rav,أعرف
B-01-46,Bring me,zheeb lee,جيب لي
B-01-47,Distribute,gasam,كُسَم
B-01-48,Fill,imla,أملَ
B-01-49,Lift,iRvid,أرفدْ
B-01-50,Pour into,Sob ve,صب ف
B-01-51,Put,iTRaH,أطرح
B-01-52,Take,igbaTh,أكبظْ
B-01-53,Load,iRvid,أرفدْ
B-01-54,Unload,iTRaH,أطرحْ
B-01-55,Help me,‘aawenee,عاوني
B-01-56,Show me,in’atlee,أنعتلي
B-01-57,Tell me,golee,كُولَلي
B-02-01,Please.,Hagala,حكُلل.
B-02-02,Thank you.,shukRan,شكرا.
B-02-03,Can someone assist us?,maa hon Had igid ee’aawena?,ما هون حدْ أيكٌد إعاونَ؟
B-02-04,OK,aywa,أيوَ
B-02-05,Excuse me. / I’m sorry.,ismaHlee / waazh’a,أسمحلي /. واجعَ.
B-02-06,Yes,ahayh,أهيه
B-02-07,No,abdey,أبدى
B-02-08,Maybe,itgid,اتكُدْ
B-02-09,Right,SaaliH,صالحْ
B-02-10,Wrong,KhaasiR,خاسرْ
B-02-11,Here,hon,هون
B-02-12,There,hok,هكٌ
B-02-13,I want,nibghee,نبغي
B-02-14,I do not want,maa nibghee,ما نبغي
B-02-15,Danger,KhoTooRa,خطورة
B-02-16,We are here to help you.,naHna zhaayeen hon eeyaak in’aawnokom,نحن جايين هون أياك أنعاونوكم.
B-02-17,Help is on the way.,il ma’oona zhaaya viTReeg,المعونة جايَ فطريقُ.
B-02-18,We are Americans.,naHna min amReek,نحن من آمريك.
B-02-19,You will not be harmed.,maa laahee imesak Had,مالاه إمسك حد.
B-02-20,You are safe.,inta vaalish,أنت فالشْ.
B-02-21,"OK, no problem.","aywa, maahee moshkeleh",أيوَ، ماهي مشكلة.
B-02-22,Who?,minho?,منهو؟
B-02-23,What?,shinho?,شنهو؟
B-02-24,When?,aynta?,أينت؟
B-02-25,Where?,imnayn?,أمنين؟
B-02-26,Why?,i’laash?,أعلاشْ؟
B-02-27,How?,keevaash?,كيفاش؟
B-02-28,What happened?,shiKhlig?,شخلكْ؟
B-02-29,Do you have ___?,maa ‘indak ___?,ما عندكْ ___؟
B-02-30,Do you need help?,miHtaazh ilHad ee’aawnak?,محتاج ألحد إعاونك؟
B-02-31,I am,anaa,أنا
B-02-32,You are,inta,أنت
B-02-33,He / She is,howa / heeyeh,هو / هي
B-02-34,We are,naHna,نحن
B-02-35,They are,homa,هوم
B-03-01,Welcome.,maRHaba,مرحبا.
B-03-02,Hello.,ishTaaRee,أشطاري.
B-03-03,Good morning.,iSbaaH il KhayR,صباح الخير.
B-03-04,Good night.,layla sa’eeda,ليلة سعيدة.
B-03-05,Good bye.,wada’naak il moolaana,ودعناك ألمولانَ.
B-03-06,How are you?,ishHaalak?,أشحالك؟
B-03-07,"I’m fine, thanks, and you?","tabaaRak alaah, maa shalaah, ishTaaRee?",تبارك الله، ماشالله، أشطاري؟
B-03-08,I’m pleased to meet you.,mishaRav bizhbaaRak,مشرف بجبارك.
B-03-09,Thank you for your help.,shukRan i’la il ma’oona,شكرا أعل المعونة.
B-03-10,My name is ___.,ismee ___,أسمي .___
B-04-01,Do you speak English?,titkalam lingleezeeyeh?,تتكلم لنكُليزية؟
B-04-02,I do not speak Hassaniya.,anaa maa nitkalam il Hasaaneeyeh,أنا ما نتكلم الحسانية.
B-04-03,What is your name?,ismak?,أسمك؟
B-04-04,When is your birthday?,aynta iKhlaaga?,أينت أخلاقَ؟
B-04-05,Where were you born?,inta iKhlaaga ve imnayn?,أنت أخلاقَ فمنينْ؟
B-04-06,What is your rank / title?,shinhowa KhaTak / shaghiltak?,شنهو خطك / شغلتكْ؟
B-04-07,What is your nationality?,inta min ay dawleh?,أنت من أي دولة؟
B-04-08,Do you have any identification papers?,‘indak kaRt daandeeteh?,عندك كردت دانديتي؟
B-04-09,Do you have a passport?,‘indak paaSpoR?,عندك باصبور؟
B-04-10,What is your job?,shinheeyeh shagiltak?,شنهي شقلتكْ؟
B-04-11,Who is in charge?,minhowa il mas-ool hon?,منهو المسؤول هون؟
B-04-12,Where do you serve?,imnayn tishitghal?,أمنين تشتغل؟
B-04-13,Which group are you in?,inta min ay mazhmoo’a?,أنت من أي مجموعة؟
B-04-14,Answer the questions.,zhaaweb i’la las-eeleh,جاوب أعل الأسئله.
B-04-15,Where are you from?,inta min ay iblad?,أنت من أي أبلد؟
B-04-16,Do you understand?,ivhamt?,أفهمتْ؟
B-04-17,I don’t understand.,maanee vaahim,ماني فاهم.
B-04-18,How much?,ibkam?,أبكمْ؟
B-04-19,How many?,kam min?,كم منْ؟
B-04-20,Repeat it.,‘ilha,علَها.
B-04-21,Where is ___?,imnayn howa ___?,أمنين هو ___؟
B-04-22,What direction?,ay zheeha?,أي جيهَ؟
B-04-23,Is it far?,Tha ib’eed?,ذ أبعيد؟
B-04-24,Are there armed men near here?,maaveeh Razhaaleh misalHeen igRayib hon?,مافيهْ رجاله مسلحين أقَريب هون؟
B-04-25,Where did they go?,imnayn gaaso?,أمنين كَاسوا؟
B-04-26,What weapons?,ay silaaH?,أي سلاح؟
B-04-27,Speak slowly.,itkalam beshoR,أتكلم بشور.
B-04-28,Where is your unit?,waynheeyeh wiHidtak?,وينهي وحدتك؟
B-04-29,Where did you see them?,imnayn shivit-hom?,أمنين شفتهمْ؟
B-04-30,Where is your family?,waynhoma ahlak?,وينهوم أهلك؟
B-05-01,0    Zero,SiviR,صفر
B-05-02,1    One,waaHid,واحد
B-05-03,2    Two,ithnayn,اثنين
B-05-04,3    Three,ithlaatheh,أثلاثه
B-05-05,4    Four,aRba’a,أربعه
B-05-06,5    Five,Khamseh,خمسه
B-05-07,6    Six,siteh,سته
B-05-08,7    Seven,sab’a,سبعه
B-05-09,8    Eight,ithmaanyeh,ثمانيه
B-05-10,9    Nine,tis’a,تسعه
B-05-11,10    Ten,‘ashRa,عشره
B-05-12,11    Eleven,ihdaa’ish,أهداعش
B-05-13,12    Twelve,ithna’ish,أثنعش
B-05-14,13    Thirteen,ithlaTa’ish,أثلطعش
B-05-15,14    Fourteen,aRba’Ta’ish,أربعطعش
B-05-16,15    Fifteen,iKhmisTa’ish,أخمسطعش
B-05-17,16    Sixteen,sitTa’ish,ستطعش
B-05-18,17    Seventeen,isba’Ta’ish,أسبعطعش
B-05-19,18    Eighteen,ithminTa’ish,أثمنطعش
B-05-20,19    Nineteen,itsa’Ta’ish,أتسعطعش
B-05-21,20    Twenty,‘ishReen,عشرين
B-05-22,30    Thirty,ithlaatheen,أثلاثين
B-05-23,40    Forty,aRib’een,أربعين
B-05-24,50    Fifty,Khamseen,خمسين
B-05-25,60    Sixty,siteen,ستين
B-05-26,70    Seventy,sab’een,سبعين
B-05-27,80    Eighty,ithmaaneen,أثمانين
B-05-28,90    Ninety,tis’een,تسعين
B-05-29,100   One Hundred,meeya,ميه
B-05-30,"1,000  One Thousand",aliv,ألفْ
B-05-31,"10,000  Ten Thousand",a’shaR talaav,أعشرْت ألاف
B-05-32,"100,000 Hundred Thousand",meet alv,مية ألف
B-05-33,"1,000,000 Million",malyoon,مليون
B-05-34,Plus,zaayed,زايد
B-05-35,Minus,naaqiS,ناقص
B-05-36,More (than),akthaR (min),أكثر (من)
B-05-37,Less (than),agal (min),أقَل (من)
B-05-38,Approximately,igRayib min,أقَريب من
B-05-39,First,lawal,لوَل
B-05-40,Second,ith thaanee,الثاني
B-05-41,Third,ith thaalith,الثالث
B-06-01,Sunday,il Had,ألْحد
B-06-02,Monday,lithnayn,لثنين
B-06-03,Tuesday,ithlaatheh,أثلاثه
B-06-04,Wednesday,laRib’a,لربعه
B-06-05,Thursday,laKhmees,لخميس
B-06-06,Friday,il zhomoo’a,الجموعه
B-06-07,Saturday,is sabit,السبت
B-06-08,Yesterday,yaamis,يامس
B-06-09,Today,il yoom,أليوم
B-06-10,Tomorrow,iS SibiH,أصبحْ
B-06-11,Day,inhaaR,أنهار
B-06-12,Night,il layl,ألليل
B-06-13,Week,isboo’,أسبوع
B-06-14,Month,ishhaR,أشهر
B-06-15,Year,‘aam,عام
B-06-16,Second,sigond,سكُوندْ
B-06-17,Minute,daqeeqa,دقيقه
B-06-18,Hour,saa’a,ساعه
B-06-19,Morning,iSbaaH,أصباح
B-06-20,Evening,il layl,ألليل
B-06-21,Noon,iTh ThihiR,الظهرْ
B-06-22,Afternoon,idaHmees,أدَحميسْ
B-06-23,Midnight,minwee,منوي
B-06-24,Now,ThaRk,ظركْ
B-06-25,Later,waqit oKhaR,وقت أوخرْ
B-07-01,Above / Over,i’la / vog,أعل / فوقُ
B-07-02,After / Past,‘aagib / ooRa,عاقَب / أورَ
B-07-03,Back / Behind,il looRa,أللورَ
B-07-04,Before / In front of / Forward,saabig / gidaam / il gidaam,سابقٌ / قٌدام / ألقٌدام
B-07-05,Between,bayn,بينْ
B-07-06,Coordinates,iHdaatheeyaat,إحداثيات
B-07-07,Degrees,daRazhaat,درجات
B-07-08,Down,it taHt,التحت
B-07-09,East,shaRg,شرقٌ
B-07-10,Far,ib’eed,أبعيد
B-07-11,Longitude,KhaT Tool,خط طولْ
B-07-12,Left,il ‘asRee,العسري
B-07-13,Latitude,KhaT il ‘iRiTh,خط العرظْ
B-07-14,My position is ___.,aRaayee howa ___,أرايي هو .___
B-07-15,Near,igRayib,أقٌريب
B-07-16,North,tel,تلْ
B-07-17,Northeast,tel-shaRg,تل-شرقٌ
B-07-18,Northwest,tel-saaHil,تلْ-ساحل
B-07-19,Right,il ‘aRbee,العربي
B-07-20,South,gibleh,كٌبله
B-07-21,Southeast,gibleh-shaRg,كٌبله-شرقٌ
B-07-22,Southwest,gibleh-saaHil,كٌبله-ساحل
B-07-23,Straight ahead,i’la Tool,أعل طولْ
B-07-24,Under,taHt,تحت
B-07-25,Up,vog,فوقٌ
B-07-26,West,saaHil,ساحل
B-08-01,Beach,ish shaT,الشط
B-08-02,Border,il Hodood,الحدود
B-08-03,Bridge,Saaleh,صاله
B-08-04,Camp,moKhayam,مخيم
B-08-05,Dirt road,Raampleh,رامبَله
B-08-06,Forest,ghaabeh,غابه
B-08-07,Harbor,ipoR,أبَورْ
B-08-08,Hill,Rigbeh,ركٌبه
B-08-09,House,daaR,دار
B-08-10,Lake,ibHayRah,أبحيره
B-08-11,Meadow,iHReetheh,أحريثه
B-08-12,Mountain,kidya,كديه
B-08-13,Ocean,ibHaR,أبحر
B-08-14,Path,iTReeg,أطريقٌ
B-08-15,Paved road,iTReeg mogadiRneh,طريقٌ مُكٌدرنه
B-08-16,Place,iblaaSah,أبلاصه
B-08-17,Position,iblad,أبلدْ
B-08-18,River,nahaR,نهر
B-08-19,Road,iTReeg,أطريقٌ
B-08-20,Sea,ibHaR,أبحر
