A-01-01,We have a malfunction.,‘idnaa ‘ajez,عدنا عجز
A-04-01,Runway ___ in use.,madraj iT-Tayaaraat ___ mashghool,مدرج الطيارات ___ مشغول
A-04-02,Wind at ___.,reeH bi ___,ريح بـ ___
A-04-03,Altimeter,jeehaaz giyaas il-ertifaa’,جهاز گياس الإرتفاع
A-04-04,Number ___ to follow.,ir-ragum ___ lit-ta’aqub,الرگم ___ للتعقب
A-04-05,Report,taqreer,تقرير
A-04-06,___ miles,___ amyaal,___ أميال
A-04-07,___ kilometers,___ keelumetraat,___ كيلومترات
A-04-08,Beacon,manaara,منارة
A-04-09,Final (approach),al-marHala il-aKheera,المرحلة الأخيرة
A-04-10,Base,qaa’ida,قاعدة
A-04-11,Headwind,reeH ‘akseeya,ريح عكسية
A-04-12,Tailwind,reeH Khalfeeya,ريح خلفية
A-04-13,Crosswind,reeH jaanibeeya,ريح جانبية
A-04-14,Downwind,be-itijaah ir-reeH,بإتجاه الريح
A-04-15,Upwind,reeH ‘aaliya,ريح عالية
A-04-16,Extended (fully),mumtad kulee,ممتد كلي
A-04-17,Enter landing pattern.,idKhel manTaqat il- hubooT,إدخل منطقة الهبوط
A-04-18,Cleared to land.,iT-Tareeg maftooH lak,الطريگ مفتوح لك
A-04-19,Landing gear down.,il-geyr lee juwa,الگير ليجوه
A-04-20,Turn on runway lights.,ish’al anwaar il-madraj,إشعل أنوار المدرج
A-04-21,Is your navigation system working?,jeehaaz il-meelaaHa maalkum yishtughul?,جهاز الملاحة مالكم يشتغل؟
A-04-24,I’ve landed.,anaa hebaTet,أنا هبطت
A-04-25,"Is your Instrument Landing System (VOR, TACAN) working?",il-geyr maalak yishtughul?,الگير مالك يشتغل؟
A-05-01,Taxiway,mudaraj,مدرج
A-05-02,Taxi,yitHarak,يتحرك
A-05-03,Turn right,door yameen,دور يمين
A-05-04,Turn left,door yasaar,دور يسار
A-05-05,To the hardstand,seer il makaan wugoof iT-Tayaara,سير لمكان وگوف الطيارة
A-05-06,Follow the “follow-me” truck.,ilHag il-loree “ilHagnee”,إلحگ اللوري “إلحگني”
A-05-07,Take runway ___.,KhuTh il-mudaraj ___,خذ المدرج ___
A-05-08,Hold short of runway.,laa tigrab imnel mudaraj,لا تگرب من المدرج
A-05-09,"Is able, enter next taxiway.","yigdar, yidKhul il-mudaraj il-ba’ad",يگدر، يدخل المدرج البعد
A-05-11,Marshallers will assist.,il-mu-ashireen raH yisaa’dook,المؤشرين رح يساعدوك
A-05-12,Taxi into position and hold.,itHarak il maHalak oo- ogaf,إتحرك لمحلك وأوگف
A-05-13,There is an obstacle in our way.,ako ‘aqaba ibTareegnaa,أكو عقبة بطريگنا
A-05-14,Can you move that ___?,tigdar itHarik haThaa ___?,تگدر تحرك هذا ___؟
A-05-15,car?,sayaara?,سيارة؟
A-05-16,truck?,loree?,لوري؟
A-05-17,airplane?,Tayaara?,طيارة؟
A-05-18,powercart?,‘ajalat il-Humoola?,عجلة الحمولة؟
A-05-19,We need minimum ___.,agal shee niHtaaj ___,أگل شي نحتاج ___
A-05-20,50 feet taxiway,Khamseen gadam ‘an madraj iT-Tayaaraat,50 گدم عن مدرج الطيارات
A-05-21,70 feet taxiway,sab’een gadam ‘an madraj iT-Tayaaraat,70 گدم عن مدرج الطيارات
A-05-22,Our wingspan is ___ meters.,Tool ijnaaHnaa huwa ___ meter,طول جناحنا هو ___ متر
A-05-23,We need wingtip clearance.,niHtaaj masaafat amaan lil-jinaaH,نحتاج مسافة أمان للجناح
A-06-01,Request takeoff.,Talab muwaafaqat Tayaraan,طلب موافقة طيران
A-06-02,Cleared for takeoff.,muwaafaqat Tayaraan,موافقة طيران
A-06-03,"After departure, ___.","ba’ad iT-Tayaraan, ___",بعد الطيران___ ،
A-06-04,Heading,bee-itijaah,بإتجاه
A-06-05,Flock of birds,sirb Teeyoor,سرب طيور
A-06-06,Climb and maintain.,uS’ad wo-ibga ‘ala nafs il-mustawaa,إصعد وإبگى على نفس المستوى
A-07-01,What is the maximum weight the parking ramp can withstand?,kam mu’adal il-wazin ilee yitHamala mawqef iT- Tayaaraat?,كم معدل الوزن إللي يتحمله موقف الطيارات؟
A-07-02,What is the total length of the runway?,kam Tool il-madraj kula?,كم طول المدرج كله؟
A-07-03,What is the width of the runway?,kam ‘ard il-madraj?,كم عرد المدرج؟
A-07-04,What is the maximum weight the runway can stand?,kam mu’adal il-wazin ilee yitHamala il-madraj?,كم معدل الوزن اللي يتحمله المدرج؟
A-07-05,What are the operational hours of your tower?,kam saa’a yishtighul il- burej?,كم ساعة يشتغل البرج؟
A-07-07,How much do we owe?,kam maTloobeen?,كم مطلوبين؟
A-07-08,Dollars,dolaaraat,دولارات
A-07-09,Dirham,derhim,درهم
A-07-10,I am ___.,anaa ___,أنا ___
A-07-11,the aircraft commander,qaa-id il-Tayaara,قائد الطيارة
A-07-12,the flight engineer,muhandis il-Tayaara,مهندس الطيارة
A-07-13,the navigator,al-malaaH,الملاح
A-07-14,the copilot,musaa’id il-Tayaar,مساعد الطيار
A-07-15,the crew chief,ra-ees iT-Taaqem,رئيس الطاقم
A-07-16,the flight surgeon,Tabeeb il-Tayaara,طبيب الطيارة
A-07-17,the loadmaster,il-mas-ool ‘an il-Humoola,المسؤول عن الحمولة
A-07-18,the radio operator,‘aamil il-badaala,عامل البدالة
A-07-19,This is the flight crew.,haaTha Taaqem il- Tayaara,هذا طاقم الطيارة
A-08-01,We need a forklift.,niHtaaj raafi’a,نحتاج رافعة
A-08-02,Where do we unload?,weyn infaregh il- Humoola?,وين إنفرغ الحمولة؟
A-08-03,Pallet,manaSa,منصة
A-08-04,Cargo,Humoola,حمولة
A-08-05,We need a pallet loader.,niHtaaj Hamaal manaSa,نحتاج حمال منصة
A-08-06,We need workers to assist with unloading.,iHnaa niHtaaj ‘umaal yisaa’doonaa bit- tafreegh,إحنا نحتاج عمال يساعدونا بالتفريغ
A-08-07,We need cargo handlers.,niHtaaj Hamaaleen,نحتاج حمالين
A-08-08,Is there a staging area for cargo?,ako manTaqa imKhaSaSa lil- Humoola?,أكو منطقة مخصصة للحمولة؟
A-09-01,Do you have ___?,‘indak ___?,عندك ___؟
A-09-02,Oil,nafuT,نفط
A-09-03,Hydraulic fluid,saa-il haaydroleekee,سائل هيدروليكي
A-09-04,Hydraulic system,jeehaaz haaydroleekee,جهاز هيدروليكي
A-09-05,We need local airline maintenance support.,niHtaaj ila Seeyaana liT- Tayaraan id-daaKhilee,نحتاج إلى صيانة للطيران الداخلي
A-09-06,Our power requirements are ___.,muTalabaat quwatnaa il- kahrabaa-eeya hiya ___,متطلبات قوتنا الكهربائية هي___
A-09-07,400 cycle,arba’meet dora,004 دورة
A-09-08,3-phase,thleth maraaHil,3 مراحل
A-09-09,Alternating current,teyaar mitnaawub,تيار متناوب
A-10-01,Is fuel available?,ako banzeen?,أكو بنزين؟
A-10-02,What is the fuel composition/mixture?,shinoo KhalTat il- banzeen?,شنو خلطة البنزين؟
A-10-03,What is the cost?,kam is-si’er?,كم السعر؟
A-10-04,We need ___ kilos.,niHtaaj ___ keylo,نحتاج ___ كيلو
A-10-05,How much do we owe you?,kam maTloobeen?,كم مطلوبين؟
A-10-06,Do you have fuel pits?,‘indakum Hifar lil- banzeen?,عندكم حفر للبنزين؟
A-10-07,Are firefighters available during refueling?,ako reeyaayeel aTfaa mawjoodeen waqt it- tafweel?,أكو رياييل إطفاء موجودين وگت التفويل؟
A-10-08,How much fuel do your trucks hold?,kam gaalon banzeen tigdar itHamil loreeyaatkum?,كم گالون بنزين تگدر تحمّل لورياتكم؟
A-10-09,We need refueling.,niHtaaj infawil banzeen,نحتاج إنفول بنزين
A-10-10,Where will we be refueling?,weyn raH infawil banzeen?,وين رح إنفول بنزين؟
A-10-11,When can we be refueled?,mita nigdar infawil banzeen?,متى نگدر إنفول بنزين؟
A-11-01,Weather below minimums,darajat Haraarat il-jaw agal min il-mustawaa il- i’teeyaadee,درجة حرارة الجو أگل من المستوى الإعتيادي
A-11-02,Cloud cover,ghaTaa gheeyoom,غطاء غيوم
A-11-03,Upper edge at ___.,il-Haafa il-’ulyaa bi ___,الحافة العليا بـ ___
A-11-04,Lower edge at ___.,il-Hafaa is-siflaa bi___,الحافة السفلى بـ ___
A-11-05,Ceiling ___ meters,akthar irtifaa’ ___ metir,أكثر إرتفاع ___ متر
A-11-06,Visibility ___ kilometers,madaa ir-roo-ya huwa ___ keelometir,مدى الرؤية هو ___ كيلومتر
A-11-07,Barometric pressure ___ millibars,meqyaas iDh-DhagheT huwa ___ mileebaaraat,مقياس الضغط هو ___ مليبارات
A-11-08,Wind shear,reeH qaweeya,ريح قوية
A-11-09,Severe conditions,Haalaat Sa’ba,حالات صعبة
A-11-10,Wet runway,madraj imbalal,مدرج مبلل
A-11-11,Dry runway,madraj yaabis,مدرج يابس
B-01-01,Stop!,ogaf!,أوگف!
B-01-02,Stop or I will shoot.,ogaf wilaa aTiKh,أوگف و لا أطخ
B-01-03,Follow our orders.,itba’ awaamernaa,إتبع أوامرنا
B-01-04,Don’t shoot.,laa TiKh,لا طخ
B-01-05,Put your weapon down.,irmee slaaHak,إرمي سلاحك
B-01-06,Move.,itHarik,إتحرّك
B-01-07,Come here.,ta’aal min naa,تعال منّا
B-01-08,Follow me.,ta’aal waraay,تعال وراي
B-01-09,Stay here.,unTer min naa,إنطر منّا
B-01-10,Wait here.,itrayaanee,إترياني
B-01-11,Do not move.,maa titHarik,ما تتحرّك
B-01-12,Stay where you are.,unTer makaanak,إنطر مكانك
B-01-13,Come with me.,ta’aal wiyaay,تعال ويياي
B-01-14,Take me to ___.,KhiThnee lil ___,خذني للـ ___
B-01-15,Be quiet.,iskit,إسكت
B-01-16,Slow down.,itmahal,إتمهل
B-01-17,Move slowly.,itHarak ib buTu,إتحرك ببطء
B-01-18,Hands up.,irfa’ yadak,إرفع يدك
B-01-19,Lower your hands.,nazel yadak,ن ِّزل يدك
B-01-20,Lie down.,‘al ariDh,عالأرض
B-01-21,Lie on your stomach.,irged ‘ala baTnak,إرگد على بطنك
B-01-22,Get up.,goom,گوم
B-01-23,Surrender.,istaslim,إستسلم
B-01-24,You are a prisoner.,inta aseer,إنتَ أسير
B-01-25,We must search you.,laazim infatshak,لازم إنفتشك
B-01-26,Turn around.,door jismak,دور جسمك
B-01-27,Walk forward.,seer gedaam,سير گدام
B-01-28,Form a line.,ogaf ib KhaT waaHid,أوگف بخط واحد
B-01-29,One at a time.,waaHid waaHid,واحد واحد
B-01-30,You are next.,inta il ba’da,إنتَ إلبعده
B-01-31,No talking.,maa itsolif,ما تسولف
B-01-32,Do not resist.,maa itgaawom,ما تگاوم
B-01-33,Calm down.,ihdaa,إهدا
B-01-34,Give me.,‘aTnee,عطني
B-01-35,Do not touch.,maa tilmas,ما تلمس
B-01-36,Do not remove.,maa twaKhir,ما توخر
B-01-37,Keep away.,ib’ed,إبعد
B-01-38,Let us pass.,Khalna inseer,خلنا نسير
B-01-39,Don’t be frightened.,maa itKhaaf,ما تخاف
B-01-40,You can leave.,tigdar itseer,تگدر تسير
B-01-41,Go.,seer,سير
B-01-42,Go home.,seer baytak,سير بيتك
B-01-43,Open,baned,بند
B-01-44,Close,saker,سَكر
B-01-45,Beware,intabeh,إنتبه
B-01-46,Bring me,yeeblee,ييبلي
B-01-47,Distribute,wazi’,وزّع
B-01-48,Fill,imlee,إملي
B-01-49,Lift,irfa’,إرفع
B-01-50,Pour into,Sub,صُب
B-01-51,Put,HuT,حُط
B-01-52,Take,KhuTh,خُذ
B-01-53,Load,Hamil,حمّل
B-01-54,Unload,faDhee,فظي
B-01-55,Help me,saa’ednee,ساعدني
B-01-56,Show me,raaweenee,راويني
B-01-57,Tell me,gil lee,گلّي
B-02-01,Please.,lo tismaH,لو تسمح
B-02-02,Thank you.,shukran,شكراً
B-02-03,Can someone assist us?,tigdaroo itsaa’doona?,تگدرو تساعدونا؟
B-02-04,OK,zayn,زين
B-02-05,Excuse me / I’m sorry.,‘afwan / asif,عفواً / أسف
B-02-06,Yes,aywa,أيوه
B-02-07,No,laa,لا
B-02-08,Maybe,mumkin,ممكن
B-02-09,Right,SaH,صح
B-02-10,Wrong,ghalaT,غلط
B-02-11,Here,min naa,منّا
B-02-12,There,min naak,مناك
B-02-13,I want.,abee,أبي
B-02-14,I do not want.,maa bee,مابي
B-02-15,Danger,KhaTar,خطر
B-02-16,We are here to help you.,niHna min naa lansaa’edkum,نحنا منّا لنساعدكم
B-02-17,Help is on the way.,il musaa’da fil Tareej,المساعدة فالطريج
B-02-18,We are Americans.,naHnoo amreekeyeen,نحنُ أمريكيين
B-02-19,You will not be harmed.,maa raH in-aTheek,ما رح نأذيك
B-02-20,You are safe.,inta ib-amaan,إنت بأمان
B-02-21,"OK, no problem.","zayn, maaku mushkila",زين، ماكو مشكلة
B-02-22,Who?,minoo?,منو؟
B-02-23,What?,shinoo?,شنو؟
B-02-24,When?,mitaa?,متى؟
B-02-25,Where?,wayn?,وين؟
B-02-26,Why?,laysh?,ليش؟
B-02-27,How?,shlon?,شلون؟
B-02-28,What happened?,ishSaar?,إشصار؟
B-02-29,Do you have___?,‘inkum ___?,عنكم ___؟
B-02-30,Do you need help?,tabee imsaa’da?,تبي مساعدة؟
B-02-31,I am,anaa,أنا
B-02-32,You are,inta,إنتَ
B-02-33,He / She is,huwa / heeya,هو / هي
B-02-34,We are,naHnoo,نحنُ
B-02-35,They are,hum,هم
B-03-01,Welcome.,ahlan wa sahlan,أهلًا وسهلًا
B-03-02,Hello.,salaam,سلام
B-03-03,Good morning.,SabaaH il Khayr,صباح الخير
B-03-04,Good night.,tiSbaH ‘ala Khayr,تصبح على خير
B-03-05,Good bye.,ma’a al salaama,مع السلامة
B-03-06,How are you?,ishlonak?,إشلونك؟
B-03-07,"I’m fine, thanks, and you?","anaa zayn, shukran, wo inta?","أنا زين, شكراً , وإنت؟"
B-03-08,I’m pleased to meet you.,tsharafnaa,تشرفنا
B-03-09,Thank you for your help.,shukran il musaa’atak,شكراً لمساعدتك
B-03-10,My name is ___.,ismee ___,إسمي ___
B-04-01,Do you speak English?,tiHkee engleezee?,تحكي إنجليزي؟
B-04-02,I do not speak Emirati.,anaa maa a’ruf aHchee emaaraatee,أنا ما أعرف أحچي إماراتي
B-04-03,What is your name?,ish ismak?,إش إسمك؟
B-04-04,When is your birthday?,shinoo tareeKh wilaadtak?,شنو تاريخ ولادتك؟
B-04-05,Where were you born?,wayn mawlood?,وين مولود؟
B-04-06,What is your rank / title?,shinoo rutbitak?,شنو رتبتك؟
B-04-07,What is your nationality?,shinoo yinseetak?,شنو ينسيتك؟
B-04-08,Do you have any identification papers?,‘indak haweeya?,عندك هوّية؟
B-04-09,Do you have a passport?,‘indak jawaaz safer?,عندك جواز سفر؟
B-04-10,What is your job?,shinoo shughlak?,شنو شغلك؟
B-04-11,Who is in charge?,imnoo il mas-ool?,إمنو المسؤول؟
B-04-12,Where do you serve?,wayn teKhdem?,وين تخدم؟
B-04-13,Which group are you in?,inta ib-ay majmoo’a?,إنتَ بأي مجموعة؟
B-04-14,Answer the questions.,yaawob ‘ala il as-ila,ياوب على الأسئلة
B-04-15,Where are you from?,min wayn inta?,من وين إنتَ؟
B-04-16,Do you understand?,faahim?,فاهم؟
B-04-17,I don’t understand.,maa afham,ما أفهم
B-04-18,How much?,ibkam?,بكم؟
B-04-19,How many?,kam?,كم؟
B-04-20,Repeat it.,‘eed,عيد
B-04-21,Where is ___?,wayn ___?,وين ___؟
B-04-22,What direction?,ib-ay yeha?,بأي يهه؟
B-04-23,Is it far?,ba’eeda?,بعيده؟
B-04-24,Are there armed men near here?,aku musalaHeen min naa?,أكو مسلحين منّا؟
B-04-25,Where did they go?,wayn raaHoo?,وين راحو؟
B-04-26,What weapons?,fee aay asliHa min naa?,في أي أسلحة منّا؟
B-04-27,Speak slowly.,iHkee ib hedoo,إحكي بهدوء
B-04-28,Where is your unit?,wayn waHidtak?,وين وحدتك؟
B-04-29,Where did you see them?,wayn shoftum?,وين شفتم؟
B-04-30,Where is your family?,wayn ahlak?,وين أهلك؟
B-05-01,0    Zero,Sifer,صفر
B-05-02,1    One,waaHid,واحد
B-05-03,2    Two,ithnayn,أثنين
B-05-04,3    Three,thalaatha,ثلاثة
B-05-05,4    Four,arba’a,أربعة
B-05-06,5    Five,Khamsa,خمسة
B-05-07,6    Six,sita,ستة
B-05-08,7    Seven,sab’a,سبعة
B-05-09,8    Eight,thamaanya,ثمانية
B-05-10,9    Nine,tis’a,تسعة
B-05-11,10    Ten,‘ashra,عشرة
B-05-12,11    Eleven,idaa’ash,إداعش
B-05-13,12    Twelve,ithnaa’ash,إثناعش
B-05-14,13    Thirteen,thalathTaa’ash,ثلثطاعش
B-05-15,14    Fourteen,arba’Taa’ash,أربعطاعش
B-05-16,15    Fifteen,KhamsTaa’ash,خمسطاعش
B-05-17,16    Sixteen,sitTaa’ash,ستطاعش
B-05-18,17    Seventeen,saba’Taa’ash,سبعطاعش
B-05-19,18    Eighteen,thaminTaa’ash,ثمنطاعش
B-05-20,19    Nineteen,tise’Taa’ash,تسعطاعش
B-05-21,20    Twenty,‘ishreen,عشرين
B-05-22,30    Thirty,thlaatheen,ثلاثين
B-05-23,40    Forty,arba’een,أربعين
B-05-24,50    Fifty,Khamseen,خمسين
B-05-25,60    Sixty,siteen,ستين
B-05-26,70    Seventy,sab’een,سبعين
B-05-27,80    Eighty,thmaaneen,ثمانين
B-05-28,90    Ninety,tis’een,تسعين
B-05-29,100   One Hundred,emya,إميه
B-05-30,"1,000    One Thousand",alef,ألف
B-05-31,"10,000    Ten Thousand",‘asher talaaf,عشرتلاف
B-05-32,"100,000 Hundred Thousand",emya alef,إميه ألف
B-05-33,"1,000,000 Million",milyon,مليون
B-05-34,Plus,zaayed,زايد
B-05-35,Minus,naageS,ناگص
B-05-36,More (than),akthar min,أكثر من
B-05-37,Less (than),agal min,أگل من
B-05-38,Approximately,Hawaalee,حوالي
B-05-39,First,awal,أول
B-05-40,Second,thaanee,ثاني
B-05-41,Third,thaalith,ثالث
B-06-01,Sunday,al aHad,الأحد
B-06-02,Monday,al ithnayn,الأثنين
B-06-03,Tuesday,al thalaathaa,الثلاثاء
B-06-04,Wednesday,al arba’aa,الأربعاء
B-06-05,Thursday,al Khamees,الخميس
B-06-06,Friday,al jum’a,الجمعة
B-06-07,Saturday,al sabit,السبت
B-06-08,Yesterday,aamis,أمس
B-06-09,Today,al yom,اليوم
B-06-10,Tomorrow,baakir,باكر
B-06-11,Day,al SubuH,الصبح
B-06-12,Night,al layl,الليل
B-06-13,Week,al isboo’,الأسبوع
B-06-14,Month,al shaher,الشهر
B-06-15,Year,al sana,السنة
B-06-16,Second,thaaneya,ثانية
B-06-17,Minute,digeega,دگيگه
B-06-18,Hour,saa’a,ساعة
B-06-19,Morning,SubuH,صبح
B-06-20,Evening,maghrib,مغرب
B-06-21,Noon,Dhuhur,ظهر
B-06-22,Afternoon,ba’id al Dhuhur,بعد الظهر
B-06-23,Midnight,nuS il layl,نص الليل
B-06-24,Now,alHeen,الحين
B-06-25,Later,ba’dayn,بعدين
B-07-01,Above / Over,fog,فوگ
B-07-02,After / Past,ba’ad,بعد
B-07-03,Back / Behind,wara,وره
B-07-04,Before / In front of / Forward,gabul / gedaam / legedaam,گبل / گدام / لگدام
B-07-05,Between,bayn,بين
B-07-06,Coordinates,iHdaathiyaat,إحداثيات
B-07-07,Degrees,darajaat,درجات
B-07-08,Down,taHit,تحت
B-07-09,East,sharig,شرگ
B-07-10,Far,ba’eed,بعيد
B-07-11,Longitude,KhaT Tool,خط طول
B-07-12,Left,yasaar,يسار
B-07-13,Latitude,KhaT ‘uruDh,خط عرض
B-07-14,My position is ___.,makaanee howa ___,مكاني هو ___
B-07-15,Near,gareeb min,گريب من
B-07-16,North,shamaal,شمال
B-07-17,Northeast,shamaal sharq,شمال شرق
B-07-18,Northwest,shamaal gharb,شمال غرب
B-07-19,Right,yemeen,يمين
B-07-20,South,jenoob,جنوب
B-07-21,Southeast,jenoob sharq,جنوب شرق
B-07-22,Southwest,jenoob gharb,جنوب غرب
B-07-23,Straight ahead,seeda,سيدا
B-07-24,Under,taHit,تحت
B-07-25,Up,fog,فوگ
B-08-01,Beach,shaaTee,شاطي
B-08-02,Border,Hedood,حدود
B-08-03,Bridge,jeser,جسر
B-08-04,Camp,mu’askar,معسكر
B-08-05,Dirt road,Tareej moo imzalaT,طريج مو مزلط
B-08-06,Forest,ghaaba,غابة
B-08-07,Harbor,meenaa,ميناء
B-08-08,Hill,tel,تل
B-08-09,House,bayt,بيت
B-08-10,Lake,buHayra,بُحيرة
B-08-11,Meadow,Hagil,حگل
B-08-12,Mountain,jabal,جبل
B-08-13,Ocean,muHeeT,مُحيط
B-08-14,Path,mamar,ممر
B-08-15,Paved road,Tareej imzalaT,طريج مزلط
B-08-16,Place,makaan,مكان
B-08-17,Position,mawgi’,موگع
B-08-18,River,nahar,نهر
B-08-19,Road,Tareej,طريج
B-08-20,Sea,baHar,بحر
B-08-21,Square,muraba’,مُربع
B-08-22,Tree,shajara,شجرة
B-08-23,Valley,waadee,وادي
B-08-24,Village,garya,گرية
B-08-25,Where?,wayn?,وين؟
B-09-01,Black,aswad,أسود
B-09-02,Blue,azrag,أزرگ
B-09-03,Brown,bunee,بُني
B-09-04,Gray,raSaaSee,رصاصي
B-09-05,Green,aKhDhar,أخضر
B-09-06,Orange,purtuqaalee,پُرتقالي
B-09-07,Purple,‘in naabee,عنّابي
B-09-08,Red,aHmar,أحمر
B-09-09,White,abyaDh,أبيض
B-09-10,Yellow,aSfar,أصفر
B-09-11,Big,kebeer,كبير
B-09-12,Deep,ghameeg,غميگ
B-09-13,Long,Taweel,طويل
B-09-14,Narrow,Dhayeeg,ضيگ
B-09-15,Short (in height),gaSeer,گصير
B-09-16,Short (in length),gaSeer,گصير
B-09-17,"Small, little",Sagheer,صغير
B-09-18,Tall,Taweel,طويل
B-09-19,Thick,smeen,سمين
B-09-20,Thin,Dha’eef,ضعيف
B-09-21,Wide,‘areeDh,عريض
B-09-22,Round,imdawar,مدوّر
B-09-23,Straight,seeda,سيدا
B-09-24,Square,muraba’,مُربع
B-09-25,Triangular,muthalath,مُثلث
B-09-26,Bitter,mur,مُر
B-09-27,Fresh,Taazej,طازج
B-09-28,Salty,maaleH,مالح
B-09-29,Sour,HaamuDh,حامض
B-09-30,Spicy,Haar,حار
B-09-31,Sweet,Hilou,حلو
B-09-32,Bad,moo zayn,مو زين
B-09-33,Clean,naDheef,نضيف
B-09-34,Dark,Dhalaam,ظلام
B-09-35,Difficult,Sa’ib,صعب
B-09-36,Dirty,wasiKh,وسخ
B-09-37,Dry,yaabis,يابس
B-09-38,Easy,sahil,سهل
B-09-39,Empty,faaDhee,فاظي
B-09-40,Expensive,ghaalee,غالي
B-09-41,Fast,saree’,سَريع
B-09-42,Foreign,ajnabee,أجنبي
B-09-43,Full,matroos,متروس
B-09-44,Good,zayn,زين
B-09-45,Hard (firm),gowee,گوي
B-09-46,Heavy,thejeel,ثجيل
B-09-47,Inexpensive,raKheeS,رخيص
B-09-48,Light (illumination),Dhowa,ضوا
B-09-49,Light (weight),Khafeef,خفيف
B-09-50,Local,maHalee,محلّي
B-09-51,New,jedeed,جِديد
B-09-52,Noisy,muz’ij,مُزعج
B-09-53,Old (about things),gadeem,گديم
B-09-55,Powerful,gowee,گوي
B-09-56,Quiet (person),haadee,هادي
B-09-57,Right / Correct,SaHeeH / SaH,صحيح / صح
B-09-58,Slow,baTee,بطئ
B-09-59,Soft,naa’im,ناعم
B-09-60,Very,kulish,كلّش
B-09-61,Weak,Dha’eef,ضعيف
B-09-62,Wet,imbalal,مبلل
B-09-63,Wrong / Incorrect,ghalaT / moo HeeH,غلط / مو حيح
B-09-64,Young,Sagheer,صغير
B-09-65,Few / Little,galeel / showaya,گليل / شوية
B-09-66,Many / Much,kulish,كلش
B-09-67,Part,gisem,گسم
B-09-68,Some / A few,showaya,شوية
B-09-69,Whole,kula,كلّه
