Dialect,ID,English,Transliteration,Arabic,tags
Algerian,A-02-15,Climb to ___.,aTla’ lee ___,اطلع ل ___,"military, air crew"
Algerian,A-02-16,Descend to ___.,ah-baT lee ___,اهبط ل ___,"military, air crew"
Algerian,A-02-17,Estimated time of arrival (ETA),waqt al-woSool al- mutawaqa’,وقت الوصول المتوقع.,"military, air crew"
Algerian,A-02-18,Flight plan,KhuTaT aT-TayaRaan,خطة الطيران,"military, air crew"
Algerian,A-02-19,Fly heading ___.,TeeR fiteejaah ___,طير فاتجاه ___,"military, air crew"
Algerian,A-02-20,We are bound for ___.,Raana maRbooTeen bil ___,رانا مربوطين بال ___,"military, air crew"
Algerian,A-03-01,Please repeat slowly.,‘aawid bishweeya SaHa,عاود بشوية صح,"military, air crew"
Algerian,A-03-02,Roger.,‘oolim,عُلم,"military, air crew"
Algerian,A-03-03,Over.,Hawal,حول,"military, air crew"
Algerian,A-03-04,I did not understand.,maa-fhamtaksh,ما فهمتش.,"military, air crew"
Algerian,A-03-05,Your transmission was blocked.,al-mokaalma dyaalek tablookaat,المكالمة ديالك تبلوكات.,"military, air crew"
Algerian,A-03-06,Heavy static,at-tKhaRKheesh bezaaf,التخرخيش بزاف,"military, air crew"
Algerian,A-03-08,Say again.,‘aawid washRaak tqool,عاود واشراك تقول.,"military, air crew"
Algerian,A-03-09,This is an American aircraft.,haadee TiyaaRa amReekeeya,هادي طيارة امريكية,"military, air crew"
Algerian,A-03-10,"Spell it, please.",amlee a’leeya SaHa,ملي عليّ صح,"military, air crew"
Algerian,A-03-11,Did you say ___?,qult ___?,قلت ___؟,"military, air crew"
Algerian,A-03-12,I do not speak Algerian,maa-nahdaRsh bel- jazaayReeya,مانهدرش بالجزايرية.,"military, air crew"
Algerian,A-03-13,Does anyone there speak English?,kaayin waaHid tamaa yah-daR al- engleezeeya?,كاين واحد تما يهدر الانجليزية؟,"military, air crew"
Algerian,A-03-14,Am I talking with ___ control?,Raanee nah-daR ma’ ___ al-’amaleeyaat?,راني نهدر مع ___ العمليات؟,"military, air crew"
Algerian,A-03-15,Is there a better frequency to communicate?,kaayin mooja KheeR man haadee nahadRoo feeha?,كاين موجة خير من هادي نهدرو فيها؟,"military, air crew"
Algerian,A-03-16,I read you:,nisam’ek,نسمعك:,"military, air crew"
Algerian,A-03-17,five-by,mumtaaz,ممتاز,"military, air crew"
Algerian,A-03-18,four-by,laabaas,لاباس,"military, air crew"
Algerian,A-03-19,three-by,shweeya,شوية,"military, air crew"
Algerian,A-03-20,two-by,D’eef,ضعيف,"military, air crew"
Algerian,A-03-21,I do not read you.,maa-nsam’aksh,مانسمعكش,"military, air crew"
Algerian,A-04-01,Runway ___ in use.,laa peest ___ mashghoola,لابيست ___ مشغولة,"military, air crew"
Algerian,A-04-02,Wind at ___.,kaayin aR-ReeH fi ___,كاين الريح ف ___,"military, air crew"
Algerian,A-04-03,Altimeter,maqyaas al-eRteefaa’,مقياس الارتفاع,"military, air crew"
Algerian,A-04-04,Number ___ to follow.,taba’ Raqm ___,تبع رقم ___,"military, air crew"
Algerian,A-04-05,Report.,TaqReeR,تقرير,"military, air crew"
Algerian,A-04-06,___ miles,___ maayl,___مايل,"military, air crew"
Algerian,A-04-07,___ kilometers,___ keelometR,___كيلوميتر,"military, air crew"
Algerian,A-04-08,Beacon,al-esh’aa’ al-laasilkee,الاشعاع اللاسلكي,"military, air crew"
Algerian,A-04-09,Final (approach),al-iqteeRaab an- neehaa-ee,الاقتراب النهائي,"military, air crew"
Algerian,A-04-10,Base,laa baaz,لاباز,"military, air crew"
Algerian,A-04-11,Headwind,aR-ReeyaaH al- moo’aakisa,الرياح المعاكسة,"military, air crew"
Algerian,A-04-12,Tailwind,aR-ReeyaaH al- Khalfeeya,الرياح الخلفية,"military, air crew"
Algerian,A-04-13,Crosswind,aR-ReeyaaH al- mootaqaaTi’a,الرياح المتقاطعة,"military, air crew"
Algerian,A-04-14,Downwind,fiteejaah aR-ReeH,في اتجاه الريح,"military, air crew"
Algerian,A-04-15,Upwind,aR-ReeyaaH al- ’ulweeya,الرياح العلوية,"military, air crew"
Algerian,A-04-16,Extended (fully),fee emteedaad kulee,في امتداد كلي,"military, air crew"
Algerian,A-04-17,Enter landing pattern.,abda ‘amaleeyat al- hooboT,أبدا عملية الهبوط,"military, air crew"
Algerian,A-04-18,Cleared to land.,hooboT aT-TiyaaRa aamin,هبوط الطيارة آمن,"military, air crew"
Algerian,A-04-19,Landing gear down.,aj-heezat al-hooboT waajda,اجهزة الهبوط واجدة,"military, air crew"
Algerian,A-04-20,Turn on runway lights.,esh’al aD-Do ntaa’ laa peest liT-TiyaaRaat,اشعل الضو تاع لابيست للطيارات,"military, air crew"
Algerian,A-04-21,Is your navigation system working?,as-seestem taa’ naaveegaasyon ntaa’ek Raahoo yimshee,السيستام تاع النفيكاسيون تاعك راهو يمشي؟,"military, air crew"
Algerian,A-04-22,I see the airfield.,Raanee nshoof al- maTaaR,راني نشوف المطار,"military, air crew"
Algerian,A-04-23,I see the runway.,Raanee nshoof laa peest ntaa’ aT- TiyaaRaat,راني نشوف لابيست تاع الطيارات,"military, air crew"
Algerian,A-04-24,I’ve landed.,ih-baT,اهبطت,"military, air crew"
Algerian,A-04-25,"Is your Instrument Landing System (VOR, TACAN) working?",as-seestem ntaa’ aj-hizat al-hobooT yimshee?,السيستام تاع اجهزة الهبوط يمشي؟,"military, air crew"
Algerian,A-05-01,Taxiway,mameR aT-TayaaRa,ممر الطيارة,"military, air crew"
Algerian,A-05-02,Taxi,Taaksee,طاكسي,"military, air crew"
Algerian,A-05-03,Turn right.,dawaR ‘ala al-yameen,دور عال الليمن,"military, air crew"
Algerian,A-05-04,Turn left.,dawaR ‘ala al-yaSaaR,دور عال الليسر,"military, air crew"
Algerian,A-05-05,To the hardstand.,adKhul lil-paaRking dyaal aT-TayaaRa,ادخل للباركينغ ديال الطيارة,"military, air crew"
Algerian,A-05-06,Follow the “follow-me” truck.,tabe’ shaaHeenat eRshaad aT- TayaaRaat,اتبع شاحنة ارشاد الطيارات,"military, air crew"
Algerian,A-05-08,Hold short of runway.,qaReb gudaam la peest waHbis,قرب قدام لابيست و احبس,"military, air crew"
Algerian,A-05-09,"Is able, enter next taxiway.","eeDa kaan mumken, adKhul lil-mameR al- jaay",إذا كان ممكن، ادخل للممر الجاي,"military, air crew"
Algerian,A-05-10,Taxi to parking.,Habis fel-paaRking,حبس فلبركينكك,"military, air crew"
Algerian,A-05-11,Marshallers will assist.,al-muRshedeen Raahum RaayHeen ee’aawnook bil- iRshaadaat,المرشدين راهم رايحين يعانوك بالارشادات,"military, air crew"
Algerian,A-05-12,Taxi into position and hold.,RoH la peest wa-stana oo madeemaaReesh Hata na’Took loRdR,روح لابيست وستنا وماديماريش حتى نعطيوك لوردر,"military, air crew"
Algerian,A-05-13,There is an obstacle in our way.,kaayin waaHad al- Haajez fil-mameR,كاين واحد الحاجز في الممر,"military, air crew"
Algerian,A-05-14,Can you move that ___?,taqdeR tnaHee deek ___?,تقدر تنحي ديك ___؟,"military, air crew"
Algerian,A-05-15,car?,Tonobeel?,طونوبيل؟,"military, air crew"
Algerian,A-05-16,truck?,kaamyoo?,كاميو؟,"military, air crew"
Algerian,A-05-17,airplane?,TiyaaRa?,طيارة؟,"military, air crew"
Algerian,A-05-18,powercart?,al-’aRaba al- elektRoneeya?,العربة الاليكترونية؟,"military, air crew"
Algerian,A-05-19,We need minimum ___.,nSaHqoo ‘ala al-aqal ___,نسحقوا عال الاقل ___,"military, air crew"
Algerian,A-05-20,50 feet taxiway,al-mamaR feeh Khamseen qadam,الممر فيه ٥٠ قدم,"military, air crew"
Algerian,A-05-21,70 feet taxiway,al-mamaR feeh sab’een qadam,الممر فيه ٧٠ قدم,"military, air crew"
Algerian,A-05-22,Our wingspan is ___ meters.,al-masaafa been al-janaaHeyn feT-T aTayaaRa dyaalna feeha ___ mitR,المسافة بين الجناحين فالطيارة ديالنا فيها ___متر,"military, air crew"
Algerian,A-05-23,We need wingtip clearance.,laazimna meesaaHa kaafiya liT-Tool ntaa’ al-ajneeHa,لازمنا مساحة كافية للطول تاع الاجنحة.,"military, air crew"
Algerian,A-06-01,Request takeoff.,maTloob ad-deykolaaj,مطلوب الديكولاج,"military, air crew"
Algerian,A-06-02,Cleared for takeoff.,taqdeR deykolee,تقدر ديكولي,"military, air crew"
Algerian,A-06-03,"After departure, ___.","ba’d al- mooghaadaRa, ___",بعد المغادرة___ ،,"military, air crew"
Algerian,A-06-04,Heading,fiteejaah,فاتجاه,"military, air crew"
Algerian,A-06-05,Flock of birds,majmoo’a ntaa’ az- zawaawsh,مجموعة تاع الزواوش,"military, air crew"
Algerian,A-06-06,Climb and maintain.,aTla’ oo-HaafiD ‘ala moostawa al-’uloo,أطلع وحافض على مستوى العلو,"military, air crew"
Algerian,A-07-01,What is the maximum weight the parking ramp can withstand?,washnoo hoowa al- maakseemom dyaal tiqel al-plaaSa ntaa’ al-paaRking alee taqdeR t-Hamil?,واشنو هو الماكسيموم ديال تقل البلاصة تاع الباركينغ إللي تقدرتحمل؟,"military, air crew"
Algerian,A-07-02,What is the total length of the runway?,washnoo hoowa aT- Tool ntaa’ la peest?,واشنو هو الطول تاع لابيست؟,"military, air crew"
Algerian,A-07-03,What is the width of the runway?,washnoo hoowa al- ‘aRD ntaa’ la peest?,واشنو هو العرض تاع لابيست؟,"military, air crew"
Algerian,A-07-05,What are the operational hours of your tower?,washnoo homaa swaaye’ al-Khidma fi- boRj al-mooRaaqaba?,واشنو هوما سوايع الخدمة فبرج المراقبة؟,"military, air crew"
Algerian,A-07-06,What fees are we liable for?,washnoo heeya al- maSaaReef alee ‘aleena?,واشنو هي المصاريف اللي علينا؟,"military, air crew"
Algerian,A-07-07,How much do we owe?,sh-Haal laazim nKhalSoo?,شحال لازم نخلصو؟,"military, air crew"
Algerian,A-07-08,Dollars,ad-doolaaR,الدولار,"military, air crew"
Algerian,A-07-09,Dinars,ad-deenaaR,الدينار.,"military, air crew"
Algerian,A-07-10,I am ___.,aana ___,انا ___,"military, air crew"
Algerian,A-07-11,the aircraft commander,al-komandon ntaa’ aT- TiyaaRa,الكوموندون تاع الطيارة,"military, air crew"
Algerian,A-07-12,the flight engineer,lenjeenyuR ntaa’ aT- TiyaaRa,لانجينيور تاع الطيارة,"military, air crew"
Algerian,A-07-13,the navigator,al-moRshid al-jawee,المرشد الجوي,"military, air crew"
Algerian,A-07-14,the copilot,moosa’id aT-TayaaR,مساعد الطيار,"military, air crew"
Algerian,A-07-15,the crew chief,al-mas-ool ‘ala aT- Taaqam ntaa’ aT- TiyaaRa,المسؤول عال الطاقم تاع الطيارة,"military, air crew"
Algerian,A-07-16,the flight surgeon,aT-Tabeeb ntaa’ aT- TiyaaRa,الطبيب تاع الطيارة,"military, air crew"
Algerian,A-07-17,the loadmaster,al-mooRaaqib lee kameeyat al-baDaa- ee’ al-masmooH beeha fiT-TayaaRa,المراقب لكمية البضائع المسموح بيها فالطيارة,"military, air crew"
Algerian,A-07-18,the radio operator,al-mas-ool ‘ala al- mookaalamaat wa-’amaleeyaat al- iteeSaal,المسؤول عال المكالمات وعمليات الاتصال,"military, air crew"
Algerian,A-07-19,This is the flight crew.,ma’aakum aT-Taaqam ntaa’ aT-TiyaaRa,معاكم الطاقم تاع الطيارة,"military, air crew"
Algerian,A-08-01,We need a forklift.,KhuSna aR-Raafi’a,خصنا الرّافعة,"military, air crew"
Algerian,A-08-02,Where do we unload?,ween nfaRghoo le- baagaazh?,وين نفرغو لي باكاج؟,"military, air crew"
Algerian,A-08-03,Pallet,naqaalet taKhzeen,نقالة تخزين,"military, air crew"
Algerian,A-08-04,Cargo,l-baagaazh,لي باكاج,"military, air crew"
Algerian,A-08-05,We need a pallet loader.,nSaHqoo naqaalat taKhzeen,نسحقو نقالة تخزين,"military, air crew"
Algerian,A-08-06,We need workers to assist with unloading.,laazimna al- Khadaameen alee yaqedRoo ee’aawnoona baash nHabtoo le-baagaazh,لازمنا الخدامين اللي يقدرو يعاونونا باش نهبطو لي باكاج.,"military, air crew"
Algerian,A-08-07,We need cargo handlers.,laazimna al- Khadaameen yistakilfoo bil- baagaazh,لازمنا الخدامين يستكلفو بالباكاج.,"military, air crew"
Algerian,A-08-08,Is there a staging area for cargo?,kaayin plaaSa moo- aqata alee yoomkin nKhaSooha lil- baagaazh?,كاين بلاصة مؤقتة اللي يمكن نخصوها للباكاج؟,"military, air crew"
Algerian,A-09-01,Do you have ___?,‘andek ___?,عندك ___؟,"military, air crew"
Algerian,A-09-02,Oil,az-zeet,الزيت,"military, air crew"
Algerian,A-09-03,Hydraulic fluid,leekeed eedRoleek,ليكيد هيدروليك,"military, air crew"
Algerian,A-09-04,Hydraulic system,seestam eedRoleek,سيستام هيدروليك,"military, air crew"
Algerian,A-09-05,We need local airline maintenance support.,laazimna moosaa’ada min aT-TayaRaan al-maHalee fi-majaal aS-Seeyaana wil- iSlaaH,لازمنا مساعدة من الطيران المحلي فمجال الصيانة و الإصلاح.,"military, air crew"
Algerian,A-09-06,Our power requirements are ___.,aT-Taaqa al-kah- Rubaa-eeya Khesitna heeya ___,الطاقة الكهربائية اللي خصتنا هي___,"military, air crew"
Algerian,A-09-07,400 cycle,aRba’meeyat doRa,٤٠٠ دورة,"military, air crew"
Algerian,A-09-08,3-phase,tReefaaz,تريفازي,"military, air crew"
Algerian,A-09-09,alternating current,at-tayaaR al- mootanaawib,التيار المتناوب,"military, air crew"
Algerian,A-09-10,115 volt,myaa oo KhamsTaash volt,١١٥ فولت,"military, air crew"
Algerian,A-10-1,Is fuel available?,kaayin leesaans?,كاين ليسانس؟,"military, air crew"
Algerian,A-10-10,Where will we be refueling?,ween naqedRoo ndeeRoo leesaans?,فوين نقدرو نديرو ليسانس؟,"military, air crew"
Algerian,A-10-11,When can we be refueled?,waqtaash naqedRoo ndeeRoo lesaans?,وقتاش نقدرو نديرو ليسانس؟,"military, air crew"
Algerian,A-10-2,What is the fuel composition / mixture?,baash mKhalaT leesaans?,باش مخلط ليسانس؟,"military, air crew"
Algerian,A-10-3,What is the cost?,sh-Haal?,شحال؟,"military, air crew"
Algerian,A-10-4,We need ___ kilos.,laazimna ___ keelo,لازمنا ___كيلو,"military, air crew"
Algerian,A-10-5,How much do we owe you?,sh-Haal laazim inKhalSoo?,شحال لازم نخلصو؟,"military, air crew"
Algerian,A-10-6,Do you have fuel pits?,‘andkum lee staasyon ntaa’ leesaans?,عندكم ستاسيونات تاع ليسانس؟,"military, air crew"
Algerian,A-10-7,Are firefighters available during refueling?,lee ponpiyey RaayHeen eekoonoo HaaDReen kee- nkoonoo ndeeRoo leesaans?,لي بوبيي رايحين يكونو حاضرين كي نكونو نديرو ليسانس؟,"military, air crew"
Algerian,A-10-8,How much fuel do your trucks hold?,sh-Haal min leesaans al-kawaamin dyaalkum yiRefdoo?,شحال من ليسانس الكوامن ديالكم يرفدو؟,"military, air crew"
Algerian,A-10-9,We need refueling.,laazim nzeedoo ndeeRoo leesaans,لازم نزيدو نديرو ليسانس,"military, air crew"
Algerian,A-11-1,Weather below minimums.,al-Haala ntaa’ aT- Taqs aqal min al- mineemom,الحالة تاع الطقس اقل من المينيموم,"military, air crew"
Algerian,A-11-10,Wet runway,la peest mshamKha,لابيست مشمخة,"military, air crew"
Algerian,A-11-11,Dry runway,la peest naashfa,لابيست ناشفة,"military, air crew"
Algerian,A-11-2,Cloud cover.,kameeyat as-sHaab fis-smaa,كمية السحاب فالسما,"military, air crew"
Algerian,A-11-3,Upper edge at ___.,a’la moostawa ntaa’ as-sHaab hoowa ___,اعلى مستوى تاع السحاب هو ___,"military, air crew"
Algerian,A-11-4,Lower edge at ___.,aqal moostawa ntaa’ as-sHaab hoowa ___,اقل مستوى تاع السحاب هو ___,"military, air crew"
Algerian,A-11-5,Ceiling ___ meters.,a’la moostawa hoowa ___ mitR,اعلى مستوى هو ___ ميتر,"military, air crew"
Algerian,A-11-6,Visibility ___ kilometers.,aR-Roo-ya moomkina Hawaalee ___ keelometR,الرؤية ممكنة حوالي ___ كيلوميتر,"military, air crew"
Algerian,A-11-7,Barometric pressure ___ millibars.,kameeyat aD-DaghT al-jawee heeya ___ mileebaR,كميةالضغط الجوّي هي ___ مليبار,"military, air crew"
Algerian,A-11-8,Wind shear,aR-ReeyaaH al- ufooqeeya wel- ’amoodeeya,الرياح الافقية والعمودية,"military, air crew"
Algerian,A-11-9,Severe conditions,Haalet aT-Taqs sayee-a,حالة الطقس سيئة,"military, air crew"
Algerian,B-01-01,Stop!,aHbes!,احْبَسْ,military
Algerian,B-01-02,Stop or I will shoot!,aHbes wala nteeRee!,احْبَسْ وَ لَا ا نْتىيري,military
Algerian,B-01-03,Follow our orders.,tabe’ al-awaamiR,تَبَعْ الأوامِر,military
Algerian,B-01-04,Don’t shoot!,maa teeReesh!,مَا ا تىيريشْ,military
Algerian,B-01-05,Put your weapon down.,HuT slaaHek,حٌطْ سْلَاحَكْ,military
Algerian,B-01-06,Move.,boozhee,بوجي,military
Algerian,B-01-07,Come here.,aayaa hnaa,آ يَا هْنَا,military
Algerian,B-01-08,Follow me.,tabe’nee,تَبَعْني,military
Algerian,B-01-09,Stay here.,ReeyeH ih-naa,ريَحْ اهْنَا,military
Algerian,B-01-10,Wait here.,isinaa hnaa,اسَنَاهْنَا,military
Algerian,B-01-11,Do not move.,matit-HaRaksh,مَتَتْحَرَكْشْ,military
Algerian,B-01-12,Stay where you are.,ReeyeH ween-aRaak,رِ يَحْ وينْرَاكْ,military
Algerian,B-01-13,Come with me.,aayaa m’aayaa,آ يَا مْعَا يَا,military
Algerian,B-01-14,Take me to ___.,ideenee lil ___,ادِيني للَْ ___,military
Algerian,B-01-15,Be quiet.,uskut,اسكُت,military
Algerian,B-01-16,Slow down.,bla’qel,بْلْعْقَلْ,military
Algerian,B-01-17,Move slowly.,it-HaRek bla’qel,اتْحَرك بْلعَْقَلْ,military
Algerian,B-01-18,Hands up.,iRfed yedeek,ارْفَدْ يَديكْ,military
Algerian,B-01-19,Lower your hands.,habeT yedeek,هَبَطْ يَديكْ,military
Algerian,B-01-20,Lie down.,tkisel,تكَسَل,military
Algerian,B-01-21,Lie on your stomach.,tkisel ‘ala kiRshek,تكَسَل عَلى كَرشَك,military
Algerian,B-01-22,Get up.,noD,نوُضْ,military
Algerian,B-01-23,Surrender.,salim RooHek,سَلمَْ روحَكْ,military
Algerian,B-01-24,You are a prisoner.,Raak maHboos,راكْ مَحْبوسْ,military
Algerian,B-01-25,We must search you.,laazem nHawsek,لَا زَمْ نْحَوْسُكْ,military
Algerian,B-01-26,Turn around.,dooR,دُورْ,military
Algerian,B-01-27,Walk forward.,imshee lil-qudaam,امْشي ِللقُدامْ,military
Algerian,B-01-28,Form a line.,e’amloo Saf,اعَمْلوا صَف,military
Algerian,B-01-29,One at a time.,weHda b-weHda,وَحدَ بوَحدَ,military
Algerian,B-01-30,You are next.,daltek mba’d,دَلْتَكْ امْبَعْد,military
Algerian,B-01-31,No talking.,maa kaash hadRa,مَا كَاشْ هَدْرَ,military
Algerian,B-01-32,Do not resist.,maa tReezeesteesh,مَا تريزيستيش,military
Algerian,B-01-33,Calm down.,t-haden,تْهَدَنْ,military
Algerian,B-01-34,Give me.,‘aTeenee,أعَْطيني,military
Algerian,B-01-35,Do not touch.,matmisish,مَتْمَسْشْ,military
Algerian,B-01-36,Do not remove.,matnaHeesh,مَتنَحيش,military
Algerian,B-01-37,Keep away.,Khaleek b’eed,خَليِكْ بْعيد,military
Algerian,B-01-38,Let us pass.,Khaleenaa njoozoo,خَلينَا انْجُوزو,military
Algerian,B-01-39,Don’t be frightened.,maa tKhaafsh,مَا تْخَافْشْ,military
Algerian,B-01-40,You can leave.,taqdeR tRooH,تَقْدَرْ تْرُوحْ,military
Algerian,B-01-41,Go.,RooH,رُوحْ,military
Algerian,B-01-42,Go home.,RooH lid-daaR,رُوحْ لدََارْ,military
Algerian,B-01-43,Open,Hal,حَلْ,military
Algerian,B-01-44,Close,ughlaq,اغْلقَْ,military
Algerian,B-01-45,Beware,Rud baalek,رُدْ بَالكَْ,military
Algerian,B-01-46,Bring me,jeeb-lee,جيبْلي,military
Algerian,B-01-47,Distribute,seRbee,سَرْبي,military
Algerian,B-01-48,Fill,‘amaR,عَمَرْ,military
Algerian,B-01-49,Lift,iRfed,ارْفَدْ,military
Algerian,B-01-50,Pour into,Sub,صُب,military
Algerian,B-01-51,Put,HuT,حُطْ,military
Algerian,B-01-52,Take,Khood,خُودْ,military
Algerian,B-01-53,Load,‘abee,عَبِي,military
Algerian,B-01-54,Unload,fiRegh,فَرَغْ,military
Algerian,B-01-55,Help me,‘aawinee,عَاوَني,military
Algerian,B-01-56,Show me,wuRee-lee,وُريلي,military
Algerian,B-01-57,Tell me,qul-lee,قُلي,military
Algerian,B-02-01,Please.,ooRaasek,اورَاسَكْ,military
Algerian,B-02-02,Thank you.,SaHa,صَحَ,military
Algerian,B-02-03,Can someone assist us?,kaash waaHed yiqder yi’aawin-naa?,كَاشْ وَاحَدْ يَقْدَرْ يْعَا وُنَا,military
Algerian,B-02-04,OK,ma’leeh,معليه,military
Algerian,B-02-05,Excuse me. / I’m sorry.,saameHnee,سَا مَحْني,military
Algerian,B-02-06,Yes,eeh,إيهْ,military
Algerian,B-02-07,No,laala,لَالَا,military
Algerian,B-02-08,Maybe,belaak,بَلَاكْ,military
Algerian,B-02-09,Right,iS-SaH,الصحْ,military
Algerian,B-02-10,Wrong,ghalaT,غَلطَ,military
Algerian,B-02-11,Here,hinaa,هْنَا,military
Algerian,B-02-12,There,il-heeh,الهيهْ,military
Algerian,B-02-13,I want,Habeet,حَبيتْ,military
Algerian,B-02-14,I do not want,maa Habeetsh,مَا حَبيتْشْ,military
Algerian,B-02-15,Danger,daanzhee,دَانْجِ,military
Algerian,B-02-16,We are here to help you.,Raanaa hnaa baash in’aawnook,رَانَا هْنَا بَاشْ انْعَاوْنوكْ,military
Algerian,B-02-17,Help is on the way.,il-ma’aawna jaaya,المْعاوْنَة جايَة,military
Algerian,B-02-18,We are Americans.,Hnaa maReekaan,حْنَا مَريكَانْ,military
Algerian,B-02-19,You will not be harmed.,maa Raanaash RaayHeen inDaRook,ما راناشْ رايحينْ انْضَروكْ,military
Algerian,B-02-20,You are safe.,Raak m-emin,راكْ مْأمَنْ,military
Algerian,B-02-21,"OK, no problem.",ma’leeh maa kaash mooshkil,معليه ما كَاشْ مُشْكِلْ,military
Algerian,B-02-22,Who?,shkoon?,شْكُونْ,military
Algerian,B-02-23,What?,waash?,وَاشْ,military
Algerian,B-02-24,When?,wuqtaash?,وْقْتَاشْ,military
Algerian,B-02-25,Where?,ween?,وينْ,military
Algerian,B-02-26,Why?,wa’laah?,وَعْلآ هْ,military
Algerian,B-02-27,How?,keefaash?,كيفَاشْ,military
Algerian,B-02-28,What happened?,waash SaRa?,وَاشْ اصْرَ,military
Algerian,B-02-29,Do you have ___?,‘andek ____?,عَنْدَ كْ ___؟,military
Algerian,B-02-30,Do you need help?,tHab in’aawnek?,تْحَبْ انْعَاوْنَكْ,military
Algerian,B-02-31,I am,aana,أنََا,military
Algerian,B-02-32,You are,inta,أنَْتَ,military
Algerian,B-02-33,He / She is,hoowa / heeya,هُوَ/هي,military
Algerian,B-02-34,We are,Hnaaya,حْنَايَا,military
Algerian,B-02-35,They are,hooma,هُومَا,military
Algerian,B-03-01,Welcome.,maRHba,مَرْحْبَا,military
Algerian,B-03-02,Hello.,SaHa,صَحَ,military
Algerian,B-03-03,Good morning.,SbaaH il-KheyR,صْبَاحْ الخيرْ,military
Algerian,B-03-04,Good night.,msil-KheyR,مْسَلْ الخيرْ,military
Algerian,B-03-05,Good bye.,tibqa ‘ala KheyR,تْبْقَ عْلَ خيرْ,military
Algerian,B-03-06,How are you?,waash Raak?,وَاشْ رَاكْ؟,military
Algerian,B-03-07,"I’m fine, thanks, and you?","labaas, winta?",لبََاسْ و انْتَ؟,military
Algerian,B-03-08,I’m pleased to meet you.,ma’Reefit KheyR,مَعْرِفِتْ خيرْ,military
Algerian,B-03-09,Thank you for your help.,ya’Teek iS-SaHa kee ‘aawint-nee,يَعْطيكْ الصَحة كي عَاوُنْتْني,military
Algerian,B-03-10,My name is ___.,wasemnee ___,وُسَمْني ___,military
Algerian,B-04-01,Do you speak English?,tah-deR il- ingleezeeya?,تَهْدرْ الأنقليزِيَ؟,military
Algerian,B-04-02,I do not speak Algerian.,maa nah-deRsh il-lah- ja il-jazaayReeya,ما نهْدرْش اللهَْجَ الجَزَايْرِيَ,military
Algerian,B-04-03,What is your name?,wismek?,وَسْمَكْ؟,military
Algerian,B-04-04,When is your birthday?,wuqtaash zet?,وْقْتَاشْ زَتْ؟,military
Algerian,B-04-05,Where were you born?,ween zet?,وينْ زَتْ ؟,military
